,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
fixed acidity,1.0,-0.2561308947703811,0.6717034347641065,0.1147767244949215,0.0937051863213055,-0.15379419286482482,-0.11318144304548154,0.6680472921189531,-0.6829781945685299,0.18300566393215345,-0.06166827062815106,0.12405164911322267
volatile acidity,-0.2561308947703811,1.0,-0.5524956845595798,0.0019178819627908921,0.06129777247646162,-0.010503827006592198,0.07647000482092811,0.02202623219523585,0.23493729440739303,-0.260986685283289,-0.20228802715325642,-0.39055778026400606
citric acid,0.6717034347641065,-0.5524956845595798,1.0,0.14357716157031455,0.20382291382904213,-0.06097812919230486,0.03553302393116164,0.36494717521123193,-0.5419041447395107,0.3127700438544169,0.10990324664156706,0.22637251431804045
residual sugar,0.1147767244949215,0.0019178819627908921,0.14357716157031455,1.0,0.05560953520353228,0.18704899510428707,0.20302788169710137,0.35528337098335305,-0.08565242221887183,0.0055271213391384294,0.04207543720973078,0.013731637340065814
chlorides,0.0937051863213055,0.06129777247646162,0.20382291382904213,0.05560953520353228,1.0,0.00556214700478115,0.047400468259075464,0.2006323266415208,-0.26502613117322676,0.37126048128542677,-0.2211405447882829,-0.12890655993005304
free sulfur dioxide,-0.15379419286482482,-0.010503827006592198,-0.06097812919230486,0.18704899510428707,0.00556214700478115,1.0,0.6676664504810229,-0.021945831163505035,0.07037749850494114,0.05165757184282856,-0.06940835356500007,-0.050656057244275944
total sulfur dioxide,-0.11318144304548154,0.07647000482092811,0.03553302393116164,0.20302788169710137,0.047400468259075464,0.6676664504810229,1.0,0.07126947620312968,-0.06649455901285463,0.042946836239538815,-0.205653943743671,-0.18510028892653776
density,0.6680472921189531,0.02202623219523585,0.36494717521123193,0.35528337098335305,0.2006323266415208,-0.021945831163505035,0.07126947620312968,1.0,-0.3416993347850116,0.1485064117207892,-0.49617977024173865,-0.1749192277833703
pH,-0.6829781945685299,0.23493729440739303,-0.5419041447395107,-0.08565242221887183,-0.26502613117322676,0.07037749850494114,-0.06649455901285463,-0.3416993347850116,1.0,-0.19664760230436973,0.20563250850549603,-0.05773139120538259
sulphates,0.18300566393215345,-0.260986685283289,0.3127700438544169,0.0055271213391384294,0.37126048128542677,0.05165757184282856,0.042946836239538815,0.1485064117207892,-0.19664760230436973,1.0,0.09359475041046704,0.25139707906925995
alcohol,-0.06166827062815106,-0.20228802715325642,0.10990324664156706,0.04207543720973078,-0.2211405447882829,-0.06940835356500007,-0.205653943743671,-0.49617977024173865,0.20563250850549603,0.09359475041046704,1.0,0.47616632400113656
quality,0.12405164911322267,-0.39055778026400606,0.22637251431804045,0.013731637340065814,-0.12890655993005304,-0.050656057244275944,-0.18510028892653776,-0.1749192277833703,-0.05773139120538259,0.25139707906925995,0.47616632400113656,1.0
