,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
fixed acidity,0.4893142151969887,-0.11050273795859213,-0.12330157143842081,-0.2296173700464876,-0.08261366216529177,-0.10147857950338887,0.3502273568776614,0.1775954473818143,0.19402090755310009,-0.2495231439636727,0.6396914521170891
volatile acidity,-0.23858436259729612,0.2749304804650772,-0.44996252801051645,0.07895978317271275,0.21873452120086917,-0.4114489345749853,0.5337351009952721,0.07877531350329917,-0.12911030090178743,0.36592473145511784,0.0023885965955179004
citric acid,0.46363165633495906,-0.15179135552456083,0.23824706648804708,-0.07941825560107107,-0.05857267649246291,-0.06959337917556023,-0.10549700515373342,0.3775155849089836,-0.3814496686341374,0.621677082526146,-0.07091030374906739
residual sugar,0.14610715358556917,0.2720802384717874,0.10128337921476636,-0.3727925624384768,0.732144287734716,-0.04915554858358313,-0.2906634126601777,-0.2998446850926671,0.007522948518947274,0.09287207782799851,0.18402996424069956
chlorides,0.21224658194703164,0.14805155528681688,-0.0926138313055156,0.6661947564399554,0.24650090261916133,-0.304338568730549,-0.37041336753101567,0.35700936365090113,0.11133866642054054,-0.21767111703537864,0.05306532154746731
free sulfur dioxide,-0.0361575244104084,0.5135668118526755,0.4287928724325243,-0.04353781794172261,-0.1591519798944197,0.014000211104160167,0.11659611474876692,0.20478050289618954,0.635405217854164,0.24848326094002945,-0.05142086494838332
total sulfur dioxide,0.02357485356411276,0.5694869591039705,0.32241450441866504,-0.034577115262891166,-0.22246455734703904,-0.1363075528153623,0.09366236761708373,-0.019035970122746396,-0.5921158926480496,-0.3707502728122385,0.06870159763412984
density,0.3953530087684555,0.23357548987383014,-0.33887135201840984,-0.17449975785661004,0.15707671087551164,0.39115230346200563,0.17048115514909146,0.23922266889453564,0.02071867536861935,-0.23999011864434644,-0.5673318980491722
pH,-0.4385196240653103,0.0067107926770705205,0.05769734716914104,-0.0037877463048041223,0.26752977018110913,0.5221164483108238,0.02513762215097438,0.561390752019177,-0.16774588617378305,-0.010969602811393914,0.34071090257701286
sulphates,0.2429213309479709,-0.037553916037584116,0.2797861510402843,0.5508723620555854,0.22596221887556434,0.38126342572010274,0.4474691135428525,-0.37460432331700233,-0.058367061981373605,0.11232045686069661,0.06955538111984347
alcohol,-0.11323206499477258,-0.3861809593562065,0.4716732226989843,-0.12218108811180294,0.350681412682248,-0.3616450422484101,0.3276509043072728,0.21762556364406074,0.03760310589852237,-0.3030145022046655,-0.314525906462906
