TSNE1,TSNE2,quality
-41.728615,17.203728,5
-23.212732,32.96104,5
-23.067665,31.399397,5
36.06787,1.8090333,6
-41.62543,17.541689,5
-41.09632,16.69828,5
-15.744138,31.20378,5
-29.812418,-1.6897621,7
-31.939198,8.484719,7
27.6982,32.515583,5
-15.529904,33.782124,5
27.6982,32.515583,5
-32.898994,-21.935158,5
18.257921,0.88942045,5
17.853397,42.995926,5
17.848839,43.019333,5
7.4228406,-13.227105,7
50.5618,25.879269,5
-49.401485,20.502907,4
50.74156,24.035105,6
6.393226,6.8833513,6
-2.5630572,2.2728658,5
21.379301,1.8408024,5
-10.692406,28.612072,5
-5.827422,-1.3244822,6
-17.975063,1.7129427,5
-19.680126,7.4099865,5
21.379301,1.8408024,5
-40.39227,17.757627,5
-32.748013,7.848561,6
-11.168768,42.13652,5
-44.331905,-7.8994026,6
-2.585088,35.620262,5
24.752321,39.01443,6
-12.271255,2.5086164,5
-50.310818,21.039112,6
-39.216103,-5.2060914,6
26.433538,-11.857447,7
-46.25709,-0.3472833,4
28.56451,31.968817,5
28.56451,31.968817,5
-19.200546,27.15339,4
50.489372,22.255033,6
18.256483,1.8195516,5
-37.220894,2.5369287,5
-30.38352,-41.823383,4
-0.97765714,50.39791,5
26.435503,-5.6282043,5
-18.199879,3.261147,5
-1.6832441,11.84569,5
-18.613472,20.190966,5
-27.993662,4.061114,6
-27.932278,4.2013493,6
7.7878184,42.085567,5
-0.86637133,30.482586,6
-27.912985,26.137335,5
46.447895,-7.8426814,5
18.361004,41.559837,5
-4.8540173,17.261122,5
-13.659665,4.9062333,6
-3.1445858,5.2327437,5
-1.6870612,51.088413,5
-23.178469,4.96843,7
-35.94882,19.485222,5
-48.55001,-14.054526,5
-48.54997,-14.054541,5
-23.637854,4.62947,5
-39.577377,-7.2577376,5
11.959345,-17.619246,5
-12.57783,-2.6192894,6
-33.84303,11.889597,6
-7.7176332,39.616272,5
-8.20589,39.41603,5
-20.67063,26.379362,4
17.449966,9.1648655,5
18.222961,-10.611398,5
18.222961,-10.611398,5
-46.01579,-6.128581,6
-11.89184,42.096947,5
30.370806,22.877104,4
-18.793081,3.1071498,5
53.920647,24.982704,5
2.115594,6.172358,5
50.968987,25.259476,5
2.9747603,-21.537512,6
-23.013792,-4.81389,5
33.666424,19.860012,6
-21.128214,5.4675303,5
30.167286,21.757483,5
-43.173306,17.218155,5
1.3508427,46.387867,5
33.666424,19.860012,6
34.0246,20.235254,5
-21.128149,5.4678383,5
-37.608654,-37.934177,4
-30.678072,-42.92456,6
-45.521774,-5.793657,5
-19.453339,8.288467,5
-43.894493,25.094927,5
-20.313383,13.509729,6
-3.1939828,16.887512,6
-16.067663,9.2733965,6
-20.313383,13.509729,6
-12.773408,29.664425,5
-17.514376,6.130623,5
-12.773408,29.664425,5
53.817024,25.972305,5
-30.672386,42.182247,5
4.4945855,4.322572,6
1.2044221,50.85756,5
20.755035,2.7361486,5
-2.8530073,35.078087,5
-2.661198,35.32304,5
29.939152,4.387437,6
20.755035,2.7361486,5
31.0444,9.401832,6
-3.4091349,16.256113,6
-25.15896,5.942556,6
-26.447992,-12.630807,6
-10.146985,40.548676,6
-40.041965,33.220375,5
-26.447992,-12.630807,6
-43.80198,18.465641,5
-39.95012,20.869644,5
-6.071607,42.213264,5
15.923603,28.028603,5
-57.48232,-7.8946514,5
-57.47624,-7.8739867,5
-12.597806,-2.63569,7
-18.345879,2.3580797,5
0.40257773,51.077915,5
-31.677593,-43.976204,5
-31.677593,-43.976204,5
-24.17664,-2.395993,6
-43.099094,30.195961,6
-20.598518,32.168915,5
-20.998161,31.007172,5
