UMAP1,UMAP2,quality
7.390324,3.4565449,5
5.5983586,2.6227472,5
5.706417,2.7080538,5
0.49858814,7.8100133,6
7.4278235,3.4741936,5
7.339299,3.309568,5
6.243093,4.358711,5
6.3176446,5.4077363,7
6.499163,4.32374,7
-0.7177787,4.285526,5
3.9517405,3.637808,5
-0.6549466,4.208763,5
7.2657027,7.60113,5
-0.53319424,5.596894,5
0.25178117,4.3653626,5
0.14070553,4.4168954,5
2.767842,7.398742,7
-2.7839806,5.7186394,5
8.163841,4.845306,4
-2.7913094,5.718068,6
3.1760845,5.83576,6
3.7533722,5.612765,5
-0.5019844,6.660016,5
4.0660872,3.3800552,5
4.479949,6.0203176,6
5.408496,5.02306,5
5.471721,4.5045886,5
-0.5049368,6.658874,5
7.3204823,3.4202313,5
6.986792,4.414815,6
3.29595,3.700128,5
7.8481345,5.517812,6
2.530242,3.5027843,5
-0.99672,3.8585234,6
4.811889,5.219548,5
8.356491,5.1016207,6
7.4433045,5.3819394,6
1.2402731,8.034801,7
8.252479,5.119379,4
-0.81195223,4.337372,5
-0.8183396,4.352073,5
5.111273,3.1135666,4
-2.682443,5.8274584,6
-0.45844707,6.103984,5
7.290512,4.440842,5
8.478412,8.026262,4
2.0410016,3.2542732,5
0.1153568,7.414041,5
5.4418707,4.8988605,5
3.9618082,5.1666784,5
5.0973506,3.2034996,5
6.5004716,4.674484,6
6.456213,4.627073,6
0.81951284,4.1505265,5
4.281489,6.2435303,6
6.2226524,2.550712,5
-0.6833348,8.821912,5
-0.2537062,4.2184997,5
4.304948,4.6345725,5
5.0293384,5.0286565,6
3.4695268,5.5234685,5
2.1514263,3.2773674,5
5.6301174,4.4643226,7
6.6721096,4.0930567,5
8.497781,5.526087,5
8.491286,5.5331807,5
5.8585653,4.6172867,5
7.850871,5.5568495,5
2.6382182,7.771139,5
6.3932347,3.6348038,6
6.3760467,4.359753,6
2.948355,3.47854,5
3.0580385,3.4935942,5
5.2813,3.2289946,4
1.7593368,6.729359,5
4.1042194,4.9326096,5
4.1342044,4.9109216,5
8.274622,5.2869816,6
3.3751955,3.7004662,5
-0.51457775,5.345986,4
5.526996,4.9051037,5
-2.8188004,5.6869245,5
3.3345206,5.516951,5
-2.8231518,5.7068605,5
3.417082,8.191536,6
6.000622,5.6354437,5
-0.56271976,5.38563,6
5.4804425,4.597087,5
-0.47508073,5.2504973,5
7.4156456,3.49467,5
0.8078792,3.6482072,5
-0.559453,5.3668194,6
-0.55858916,5.3452916,5
5.424562,4.628893,5
7.380707,7.340508,4
8.524199,8.124077,6
8.224866,5.280341,5
5.6198335,4.422486,5
8.10003,4.5250883,5
5.3926554,3.8507538,6
4.3149924,4.450287,6
5.3622165,4.5017767,6
5.4319334,3.9106996,6
3.9865165,3.508612,5
5.3463097,4.761302,5
4.069839,3.4820015,5
-2.8339975,5.699073,5
7.3642807,2.3938682,5
3.021057,5.751661,6
1.0205864,3.6268594,5
-0.54243374,6.4816613,5
2.6119022,3.468696,5
2.5059774,3.4994507,5
1.26719,7.134907,6
-0.5026031,6.5138564,5
0.8505957,7.0516586,6
4.4523926,4.5728035,6
6.0756984,4.452069,6
5.089906,4.0642314,6
3.2207825,3.600573,6
8.285314,4.1473885,5
5.077233,4.052854,6
7.4868183,3.6236327,5
7.5637903,3.7125123,5
2.6818883,3.6620257,5
0.56135064,4.565214,5
9.057795,5.113687,5
9.046729,5.1409574,5
6.4170465,3.732268,7
5.521321,4.973659,5
1.422896,3.43093,5
8.632905,8.313322,5
8.645331,8.310374,5
6.1481757,5.482373,6
8.468592,4.3094325,6
5.343523,2.4018586,5
5.3563366,2.4371033,5
4.120218,5.3215985,5
2.7788234,3.5376816,5
2.719987,3.5728586,5
5.2998233,2.3886495,5
5.3640056,2.4304013,5
8.797312,8.375769,6
